"행정구역","2014년01월_전체세대","2014년01월_1인세대","2014년01월_2인세대","2014년01월_3인세대","2014년01월_4인세대","2014년01월_5인세대","2014년01월_6인세대","2014년01월_7인세대","2014년01월_8인세대","2014년01월_9인세대","2014년01월_10인세대","2014년02월_전체세대","2014년02월_1인세대","2014년02월_2인세대","2014년02월_3인세대","2014년02월_4인세대","2014년02월_5인세대","2014년02월_6인세대","2014년02월_7인세대","2014년02월_8인세대","2014년02월_9인세대","2014년02월_10인세대","2014년03월_전체세대","2014년03월_1인세대","2014년03월_2인세대","2014년03월_3인세대","2014년03월_4인세대","2014년03월_5인세대","2014년03월_6인세대","2014년03월_7인세대","2014년03월_8인세대","2014년03월_9인세대","2014년03월_10인세대","2014년04월_전체세대","2014년04월_1인세대","2014년04월_2인세대","2014년04월_3인세대","2014년04월_4인세대","2014년04월_5인세대","2014년04월_6인세대","2014년04월_7인세대","2014년04월_8인세대","2014년04월_9인세대","2014년04월_10인세대","2014년05월_전체세대","2014년05월_1인세대","2014년05월_2인세대","2014년05월_3인세대","2014년05월_4인세대","2014년05월_5인세대","2014년05월_6인세대","2014년05월_7인세대","2014년05월_8인세대","2014년05월_9인세대","2014년05월_10인세대","2014년06월_전체세대","2014년06월_1인세대","2014년06월_2인세대","2014년06월_3인세대","2014년06월_4인세대","2014년06월_5인세대","2014년06월_6인세대","2014년06월_7인세대","2014년06월_8인세대","2014년06월_9인세대","2014년06월_10인세대","2014년07월_전체세대","2014년07월_1인세대","2014년07월_2인세대","2014년07월_3인세대","2014년07월_4인세대","2014년07월_5인세대","2014년07월_6인세대","2014년07월_7인세대","2014년07월_8인세대","2014년07월_9인세대","2014년07월_10인세대","2014년08월_전체세대","2014년08월_1인세대","2014년08월_2인세대","2014년08월_3인세대","2014년08월_4인세대","2014년08월_5인세대","2014년08월_6인세대","2014년08월_7인세대","2014년08월_8인세대","2014년08월_9인세대","2014년08월_10인세대","2014년09월_전체세대","2014년09월_1인세대","2014년09월_2인세대","2014년09월_3인세대","2014년09월_4인세대","2014년09월_5인세대","2014년09월_6인세대","2014년09월_7인세대","2014년09월_8인세대","2014년09월_9인세대","2014년09월_10인세대","2014년10월_전체세대","2014년10월_1인세대","2014년10월_2인세대","2014년10월_3인세대","2014년10월_4인세대","2014년10월_5인세대","2014년10월_6인세대","2014년10월_7인세대","2014년10월_8인세대","2014년10월_9인세대","2014년10월_10인세대","2014년11월_전체세대","2014년11월_1인세대","2014년11월_2인세대","2014년11월_3인세대","2014년11월_4인세대","2014년11월_5인세대","2014년11월_6인세대","2014년11월_7인세대","2014년11월_8인세대","2014년11월_9인세대","2014년11월_10인세대","2014년12월_전체세대","2014년12월_1인세대","2014년12월_2인세대","2014년12월_3인세대","2014년12월_4인세대","2014년12월_5인세대","2014년12월_6인세대","2014년12월_7인세대","2014년12월_8인세대","2014년12월_9인세대","2014년12월_10인세대"
"전국  (1)","20,466,884","6,878,013","4,168,201","3,797,996","4,118,031","1,149,025","266,143","64,113","16,414","4,959","3,989","20,500,837","6,905,375","4,180,509","3,804,094","4,111,503","1,145,294","264,857","63,916","16,433","4,908","3,948","20,527,351","6,927,061","4,187,859","3,807,048","4,111,346","1,142,443","263,145","63,345","16,241","4,910","3,953","20,549,492","6,942,847","4,197,405","3,809,928","4,107,870","1,140,902","262,170","63,246","16,274","4,890","3,960","20,567,959","6,950,801","4,210,618","3,812,839","4,105,838","1,138,601","261,211","63,000","16,210","4,837","4,004","20,586,787","6,960,809","4,222,561","3,815,661","4,103,649","1,136,096","260,329","62,748","16,168","4,811","3,955","20,606,866","6,972,340","4,233,829","3,819,662","4,100,011","1,134,148","259,423","62,579","16,125","4,788","3,961","20,627,576","6,985,015","4,244,931","3,823,796","4,095,468","1,132,058","258,935","62,488","16,128","4,791","3,966","20,655,145","7,006,930","4,253,855","3,828,394","4,089,764","1,130,143","258,714","62,449","16,181","4,780","3,935","20,682,278","7,024,621","4,268,916","3,832,694","4,082,311","1,127,969","258,578","62,252","16,180","4,781","3,976","20,702,623","7,037,442","4,280,615","3,835,002","4,077,147","1,126,714","258,456","62,284","16,223","4,787","3,953","20,724,911","7,049,504","4,297,546","3,839,603","4,067,398","1,124,512","258,645","62,513","16,286","4,845","4,059"
"서울특별시  (1100000000)","4,182,556","1,509,520","811,779","781,253","822,068","200,084","43,935","9,960","2,599","806","552","4,188,621","1,516,026","812,868","781,694","820,991","199,360","43,782","9,986","2,571","788","555","4,190,331","1,518,916","812,578","781,759","820,758","198,949","43,551","9,921","2,545","791","563","4,189,778","1,518,936","813,507","781,767","819,530","198,692","43,476","9,953","2,563","805","549","4,189,440","1,517,927","815,583","782,076","818,461","198,210","43,347","9,892","2,582","810","552","4,189,495","1,518,215","816,968","782,369","817,213","197,703","43,138","9,929","2,586","823","551","4,190,836","1,519,746","818,473","782,798","815,673","197,209","43,001","9,979","2,584","827","546","4,193,111","1,521,891","820,232","783,114","814,282","196,678","42,914","10,008","2,608","833","551","4,195,210","1,524,408","821,139","783,626","812,667","196,347","42,985","10,032","2,621","831","554","4,195,960","1,525,687","822,985","783,525","810,932","195,693","43,052","10,054","2,632","830","570","4,195,300","1,525,950","824,208","783,240","809,468","195,153","43,119","10,106","2,639","841","576","4,194,176","1,526,038","825,915","783,470","806,997","194,491","42,975","10,198","2,656","846","590"
"서울특별시 종로구 (1111000000)","73,548","34,171","13,213","11,125","10,899","3,125","751","194","40","17","13","73,683","34,371","13,177","11,116","10,911","3,092","754","194","41","14","13","73,689","34,444","13,192","11,104","10,843","3,084","758","192","44","14","14","73,740","34,610","13,160","11,086","10,799","3,065","755","194","45","13","13","73,729","34,671","13,154","11,063","10,765","3,064","754","187","45","13","13","73,629","34,610","13,178","11,043","10,741","3,049","751","183","48","13","13","73,506","34,541","13,231","10,999","10,699","3,027","751","183","49","16","10","73,495","34,601","13,200","11,018","10,667","3,007","745","184","46","17","10","73,581","34,723","13,204","11,043","10,632","2,984","743","181","45","16","10","73,445","34,649","13,215","11,007","10,581","2,999","745","175","47","17","10","73,281","34,545","13,214","11,007","10,527","2,992","741","177","51","17","10","73,101","34,445","13,223","10,992","10,472","2,980","732","181","46","21","9"
"서울특별시 종로구 청운효자동(1111051500)","5,877","2,076","1,114","1,083","1,158","334","85","23","1","3","0","5,887","2,084","1,113","1,079","1,168","325","90","25","1","2","0","5,903","2,083","1,116","1,088","1,174","323","91","24","2","2","0","5,876","2,084","1,114","1,078","1,169","315","88","24","2","2","0","5,870","2,086","1,113","1,079","1,164","312","90","22","2","2","0","5,880","2,089","1,124","1,074","1,164","316","87","21","2","3","0","5,871","2,079","1,134","1,068","1,164","312","89","20","2","3","0","5,856","2,070","1,125","1,077","1,157","313","89","21","1","3","0","5,839","2,070","1,124","1,077","1,141","316","88","20","1","2","0","5,823","2,072","1,126","1,076","1,130","308","87","20","1","3","0","5,837","2,079","1,125","1,077","1,135","308","87","21","2","3","0","5,830","2,084","1,118","1,093","1,111","313","85","21","2","3","0"
"서울특별시 종로구 사직동(1111053000)","4,477","1,951","884","759","625","189","50","10","3","3","3","4,477","1,953","889","748","636","182","49","11","3","3","3","4,463","1,951","884","743","632","182","51","10","4","3","3","4,454","1,941","887","734","643","176","53","10","4","3","3","4,459","1,948","889","736","637","178","50","10","4","3","4","4,441","1,943","884","731","640","170","52","9","6","1","5","4,432","1,951","870","736","636","169","50","9","5","2","4","4,440","1,953","879","724","645","169","51","9","4","2","4","4,451","1,962","878","728","640","173","51","9","4","2","4","4,439","1,939","887","740","635","169","50","9","4","2","4","4,429","1,927","896","742","628","167","49","9","5","2","4","4,400","1,892","891","741","636","168","51","10","5","2","4"
"서울특별시 종로구 삼청동(1111054000)","1,531","761","277","206","190","75","14","7","0","1","0","1,522","758","277","202","184","79","13","9","0","0","0","1,516","752","281","198","184","78","13","10","0","0","0","1,506","746","278","195","191","73","13","10","0","0","0","1,490","736","275","195","191","70","13","10","0","0","0","1,490","740","271","195","191","70","13","10","0","0","0","1,481","728","276","196","191","68","13","9","0","0","0","1,478","727","275","199","186","69","13","9","0","0","0","1,469","722","273","197","188","67","12","10","0","0","0","1,458","716","272","194","185","70","12","9","0","0","0","1,462","722","272","197","180","69","13","9","0","0","0","1,461","722","273","194","183","67","13","9","0","0","0"
"서울특별시 종로구 부암동(1111055000)","4,564","1,607","967","814","867","225","63","17","3","0","1","4,560","1,617","962","805","871","225","60","14","5","0","1","4,542","1,610","954","805","860","228","64","15","5","0","1","4,537","1,614","959","808","840","231","63","16","5","0","1","4,531","1,610","969","795","837","237","61","17","5","0","0","4,548","1,624","965","800","841","237","59","17","5","0","0","4,546","1,625","967","797","838","235","61","16","7","0","0","4,543","1,629","963","802","835","230","61","16","7","0","0","4,525","1,613","961","803","833","230","61","17","7","0","0","4,516","1,603","961","801","836","230","61","18","6","0","0","4,502","1,599","952","810","828","227","61","18","6","1","0","4,494","1,580","960","813","830","226","59","19","6","1","0"
"서울특별시 종로구 평창동(1111056000)","7,392","2,149","1,539","1,444","1,612","480","124","30","8","2","4","7,398","2,152","1,533","1,451","1,614","480","125","28","9","2","4","7,374","2,151","1,523","1,461","1,598","475","124","28","8","2","4","7,383","2,145","1,526","1,465","1,600","480","123","30","8","2","4","7,389","2,156","1,528","1,460","1,598","481","122","29","9","2","4","7,371","2,142","1,531","1,458","1,596","479","121","29","9","2","4","7,446","2,214","1,538","1,458","1,595","476","123","30","8","2","2","7,429","2,212","1,524","1,461","1,590","478","123","29","8","2","2","7,429","2,209","1,528","1,457","1,599","472","125","27","8","2","2","7,402","2,187","1,531","1,442","1,600","479","125","26","8","2","2","7,400","2,188","1,533","1,441","1,596","482","120","27","9","2","2","7,416","2,201","1,544","1,441","1,591","483","116","26","9","3","2"
"서울특별시 종로구 무악동(1111057000)","3,213","880","643","675","765","198","41","8","1","1","1","3,207","885","636","671","768","193","43","8","1","1","1","3,199","878","632","677","769","190","44","6","1","1","1","3,200","887","630","671","774","185","44","6","1","1","1","3,201","888","631","673","768","187","46","5","1","1","1","3,206","888","638","673","766","189","44","5","1","1","1","3,200","888","640","665","770","188","40","5","2","1","1","3,193","884","641","669","763","187","39","6","2","1","1","3,192","892","640","665","757","191","38","6","1","1","1","3,193","897","639","667","752","194","37","3","2","1","1","3,185","892","635","671","751","192","37","3","2","1","1","3,174","892","637","665","749","186","37","3","1","3","1"
"서울특별시 종로구 교남동(1111058000)","2,645","1,361","496","367","324","76","13","6","2","0","0","2,619","1,342","493","365","325","73","14","5","2","0","0","2,591","1,317","487","363","327","76","13","6","2","0","0","2,555","1,291","486","357","324","76","13","6","2","0","0","2,536","1,279","478","354","329","75","12","7","2","0","0","2,519","1,264","483","353","323","74","13","7","2","0","0","2,496","1,252","474","355","319","75","12","7","2","0","0","2,473","1,235","473","352","318","76","12","5","2","0","0","2,445","1,206","476","353","318","73","13","4","2","0","0","2,443","1,196","487","350","316","75","14","3","2","0","0","2,434","1,192","489","353","308","73","14","3","2","0","0","2,426","1,192","486","351","307","72","12","4","2","0","0"
