행정구역,2018년01월_전체세대,2018년01월_1인세대,2018년01월_2인세대,2018년01월_3인세대,2018년01월_4인세대,2018년01월_5인세대,2018년01월_6인세대,2018년01월_7인세대,2018년01월_8인세대,2018년01월_9인세대,2018년01월_10인세대,2018년02월_전체세대,2018년02월_1인세대,2018년02월_2인세대,2018년02월_3인세대,2018년02월_4인세대,2018년02월_5인세대,2018년02월_6인세대,2018년02월_7인세대,2018년02월_8인세대,2018년02월_9인세대,2018년02월_10인세대,2018년03월_전체세대,2018년03월_1인세대,2018년03월_2인세대,2018년03월_3인세대,2018년03월_4인세대,2018년03월_5인세대,2018년03월_6인세대,2018년03월_7인세대,2018년03월_8인세대,2018년03월_9인세대,2018년03월_10인세대,2018년04월_전체세대,2018년04월_1인세대,2018년04월_2인세대,2018년04월_3인세대,2018년04월_4인세대,2018년04월_5인세대,2018년04월_6인세대,2018년04월_7인세대,2018년04월_8인세대,2018년04월_9인세대,2018년04월_10인세대,2018년05월_전체세대,2018년05월_1인세대,2018년05월_2인세대,2018년05월_3인세대,2018년05월_4인세대,2018년05월_5인세대,2018년05월_6인세대,2018년05월_7인세대,2018년05월_8인세대,2018년05월_9인세대,2018년05월_10인세대,2018년06월_전체세대,2018년06월_1인세대,2018년06월_2인세대,2018년06월_3인세대,2018년06월_4인세대,2018년06월_5인세대,2018년06월_6인세대,2018년06월_7인세대,2018년06월_8인세대,2018년06월_9인세대,2018년06월_10인세대,2018년07월_전체세대,2018년07월_1인세대,2018년07월_2인세대,2018년07월_3인세대,2018년07월_4인세대,2018년07월_5인세대,2018년07월_6인세대,2018년07월_7인세대,2018년07월_8인세대,2018년07월_9인세대,2018년07월_10인세대,2018년08월_전체세대,2018년08월_1인세대,2018년08월_2인세대,2018년08월_3인세대,2018년08월_4인세대,2018년08월_5인세대,2018년08월_6인세대,2018년08월_7인세대,2018년08월_8인세대,2018년08월_9인세대,2018년08월_10인세대,2018년09월_전체세대,2018년09월_1인세대,2018년09월_2인세대,2018년09월_3인세대,2018년09월_4인세대,2018년09월_5인세대,2018년09월_6인세대,2018년09월_7인세대,2018년09월_8인세대,2018년09월_9인세대,2018년09월_10인세대,2018년10월_전체세대,2018년10월_1인세대,2018년10월_2인세대,2018년10월_3인세대,2018년10월_4인세대,2018년10월_5인세대,2018년10월_6인세대,2018년10월_7인세대,2018년10월_8인세대,2018년10월_9인세대,2018년10월_10인세대,2018년11월_전체세대,2018년11월_1인세대,2018년11월_2인세대,2018년11월_3인세대,2018년11월_4인세대,2018년11월_5인세대,2018년11월_6인세대,2018년11월_7인세대,2018년11월_8인세대,2018년11월_9인세대,2018년11월_10인세대,2018년12월_전체세대,2018년12월_1인세대,2018년12월_2인세대,2018년12월_3인세대,2018년12월_4인세대,2018년12월_5인세대,2018년12월_6인세대,2018년12월_7인세대,2018년12월_8인세대,2018년12월_9인세대,2018년12월_10인세대
전국  (1),"21,662,900","7,749,175","4,751,669","3,960,950","3,849,392","1,039,518","232,324","56,447","14,980","4,534","3,911","21,703,524","7,786,308","4,768,877","3,965,894","3,837,919","1,034,382","230,878","55,999","14,883","4,530","3,854","21,745,437","7,824,352","4,784,769","3,969,286","3,830,562","1,029,807","228,696","55,225","14,506","4,411","3,823","21,777,777","7,853,113","4,798,810","3,970,550","3,824,629","1,026,150","227,112","54,805","14,431","4,357","3,820","21,804,246","7,872,870","4,814,869","3,972,262","3,818,799","1,022,767","225,709","54,490","14,327","4,346","3,807","21,825,601","7,887,878","4,828,724","3,974,206","3,813,930","1,019,849","224,719","53,987","14,180","4,337","3,791","21,853,371","7,911,679","4,843,130","3,975,503","3,806,345","1,017,268","223,509","53,697","14,170","4,300","3,770","21,895,153","7,950,953","4,859,656","3,979,288","3,794,166","1,013,414","222,171","53,358","14,094","4,290","3,763","21,930,578","7,984,747","4,872,723","3,981,043","3,785,756","1,009,523","221,514","53,286","14,014","4,218","3,754","21,972,704","8,023,914","4,891,665","3,981,909","3,774,576","1,004,928","220,602","53,188","13,939","4,263","3,720","22,006,919","8,054,118","4,909,039","3,982,431","3,764,746","1,001,742","219,957","52,997","13,910","4,275","3,704","22,042,947","8,085,526","4,929,337","3,984,045","3,751,927","997,900","219,260","52,850","13,983","4,340","3,779"
서울특별시  (1100000000),"4,224,387","1,614,420","870,433","776,034","733,217","176,204","39,788","10,023","2,745",879,644,"4,231,130","1,623,409","873,005","775,461","730,292","175,192","39,548","9,977","2,746",873,627,"4,237,610","1,631,901","875,455","774,836","727,987","174,304","39,118","9,853","2,691",846,619,"4,239,848","1,636,407","876,814","774,389","725,873","173,577","38,878","9,778","2,681",832,619,"4,240,628","1,639,095","878,789","773,570","723,819","172,821","38,691","9,738","2,664",832,609,"4,241,547","1,641,170","880,390","773,539","721,941","172,210","38,527","9,664","2,671",832,603,"4,243,687","1,645,553","881,821","772,910","719,520","171,747","38,346","9,640","2,720",821,609,"4,249,335","1,653,940","883,863","772,526","716,047","171,028","38,177","9,596","2,731",813,614,"4,254,018","1,661,183","885,216","771,887","713,594","170,278","38,153","9,579","2,711",807,610,"4,258,518","1,668,524","887,826","770,474","710,472","169,552","37,973","9,544","2,720",818,615,"4,260,463","1,673,357","889,613","769,302","707,618","169,065","37,869","9,499","2,706",826,608,"4,263,868","1,679,049","891,792","768,663","704,778","168,321","37,669","9,452","2,699",841,604
서울특별시 종로구 (1111000000),"73,562","35,503","13,645","10,933","9,812","2,708",665,205,58,20,13,"73,570","35,507","13,703","10,922","9,800","2,679",658,208,59,21,13,"73,879","35,870","13,742","10,888","9,769","2,670",653,196,57,21,13,"73,857","35,885","13,774","10,877","9,746","2,643",646,200,53,20,13,"73,811","35,881","13,803","10,858","9,693","2,647",642,199,54,21,13,"73,655","35,775","13,792","10,877","9,649","2,631",648,195,55,21,12,"73,554","35,704","13,829","10,862","9,604","2,626",644,194,54,24,13,"73,559","35,738","13,843","10,875","9,548","2,627",644,195,54,22,13,"73,696","35,900","13,857","10,883","9,513","2,632",627,194,56,21,13,"73,712","35,934","13,893","10,859","9,496","2,620",628,190,58,21,13,"73,713","35,945","13,918","10,915","9,401","2,625",625,190,58,21,15,"73,735","36,012","13,901","10,952","9,348","2,601",631,195,58,21,16
서울특별시 종로구 청운효자동(1111051500),"5,442","1,938","1,108","1,027",999,264,78,21,6,1,0,"5,437","1,945","1,114","1,021",996,254,78,22,5,2,0,"5,433","1,936","1,123","1,010","1,004",251,82,19,6,2,0,"5,426","1,942","1,117","1,010",999,249,83,21,3,2,0,"5,416","1,930","1,119","1,009",998,253,82,19,4,2,0,"5,422","1,923","1,122","1,009","1,009",250,85,18,4,2,0,"5,408","1,924","1,115","1,004","1,012",247,80,20,3,3,0,"5,405","1,933","1,114","1,001","1,000",247,82,20,5,3,0,"5,404","1,934","1,116",999,"1,000",251,76,20,5,3,0,"5,406","1,937","1,115","1,008","1,000",243,77,18,5,3,0,"5,411","1,950","1,111","1,013",991,242,76,19,5,4,0,"5,413","1,955","1,112","1,014",987,239,76,20,5,5,0
서울특별시 종로구 사직동(1111053000),"4,425","2,074",860,670,596,157,34,22,8,0,4,"4,439","2,082",857,675,601,155,35,22,8,0,4,"4,459","2,107",852,680,597,153,36,22,8,1,3,"4,467","2,116",856,679,600,149,33,23,6,2,3,"4,466","2,121",863,668,597,150,33,23,6,2,3,"4,471","2,120",870,676,588,150,34,22,7,1,3,"4,482","2,115",882,679,590,152,31,22,7,1,3,"4,488","2,119",891,681,577,156,31,22,7,1,3,"4,507","2,144",884,687,571,157,31,22,7,1,3,"4,520","2,158",868,700,567,162,33,20,8,1,3,"4,519","2,156",881,692,560,166,33,20,7,1,3,"4,528","2,158",881,701,558,162,34,22,8,1,3
서울특별시 종로구 삼청동(1111054000),"1,416",726,247,203,159,57,16,7,1,0,0,"1,410",725,247,201,159,54,16,7,1,0,0,"1,401",723,244,201,154,56,16,6,1,0,0,"1,419",739,252,199,149,56,18,6,0,0,0,"1,417",739,253,195,150,56,18,6,0,0,0,"1,415",740,251,194,152,54,18,6,0,0,0,"1,414",736,251,197,154,55,15,5,0,1,0,"1,423",751,248,198,151,54,15,5,0,1,0,"1,424",756,246,195,151,54,15,5,1,1,0,"1,413",744,252,190,148,57,15,5,1,1,0,"1,411",748,249,188,146,58,15,5,1,1,0,"1,408",745,247,187,144,58,20,6,1,0,0
서울특별시 종로구 부암동(1111055000),"4,327","1,625",905,748,746,210,58,26,4,3,2,"4,339","1,633",907,752,749,207,56,26,4,3,2,"4,312","1,618",911,748,741,204,56,26,3,3,2,"4,297","1,609",917,746,736,200,56,23,5,3,2,"4,289","1,607",916,747,733,200,52,23,6,3,2,"4,279","1,608",918,737,732,195,55,23,5,4,2,"4,289","1,600",933,742,733,189,57,23,6,4,2,"4,297","1,605",942,737,729,195,57,22,5,3,2,"4,308","1,623",939,736,728,195,55,22,5,3,2,"4,322","1,627",955,729,732,191,54,23,6,3,2,"4,313","1,626",954,721,731,193,56,22,6,2,2,"4,315","1,632",951,726,728,192,55,20,7,2,2
서울특별시 종로구 평창동(1111056000),"7,476","2,370","1,595","1,469","1,472",419,108,25,10,6,2,"7,467","2,358","1,606","1,465","1,460",426,108,25,10,7,2,"7,590","2,488","1,619","1,457","1,452",431,103,23,8,7,2,"7,591","2,491","1,624","1,457","1,454",422,100,26,8,7,2,"7,603","2,486","1,638","1,463","1,443",427,102,26,8,8,2,"7,599","2,479","1,640","1,471","1,444",420,101,26,9,8,1,"7,590","2,485","1,633","1,466","1,434",424,104,25,9,8,2,"7,573","2,463","1,628","1,472","1,448",413,105,25,10,7,2,"7,601","2,478","1,630","1,479","1,451",418,102,24,10,7,2,"7,588","2,468","1,636","1,467","1,451",427,96,25,9,7,2,"7,596","2,471","1,644","1,484","1,432",426,96,25,9,7,2,"7,592","2,471","1,650","1,478","1,429",428,93,25,9,7,2
서울특별시 종로구 무악동(1111057000),"3,022",713,635,681,758,190,32,9,2,1,1,"3,016",715,643,676,750,185,31,10,3,2,1,"3,019",711,654,668,759,181,30,10,3,2,1,"3,020",721,646,676,749,181,32,10,3,1,1,"3,021",724,644,672,753,180,33,10,3,1,1,"3,018",719,652,673,755,172,32,10,3,1,1,"3,013",711,653,673,756,173,34,8,3,1,1,"3,004",708,652,667,757,173,35,8,2,1,1,"3,005",707,660,665,755,172,35,7,2,1,1,"2,998",703,656,668,752,173,36,5,3,1,1,"2,994",694,656,675,748,175,36,5,3,0,2,"3,002",697,657,677,752,173,35,6,2,0,3
서울특별시 종로구 교남동(1111058000),"4,425","1,586","1,043",823,764,158,33,13,5,0,0,"4,480","1,601","1,068",821,782,160,30,13,5,0,0,"4,519","1,620","1,067",835,789,159,33,12,4,0,0,"4,516","1,597","1,077",838,791,163,33,13,4,0,0,"4,510","1,583","1,081",850,780,163,37,12,4,0,0,"4,506","1,582","1,070",861,777,161,37,13,5,0,0,"4,517","1,584","1,074",869,775,160,37,13,5,0,0,"4,535","1,587","1,080",871,779,161,37,15,4,1,0,"4,534","1,582","1,092",867,779,156,38,16,3,1,0,"4,552","1,582","1,116",862,779,153,38,16,5,1,0,"4,553","1,584","1,112",872,770,155,37,15,6,2,0,"4,576","1,600","1,112",883,767,156,36,14,6,2,0
